name_of_gas,temperature scope,a7,a6,a5,a4,a3,a2,a1
H2O,298.15-1000,-1.79E-12,6.37E-09,-9.04E-06,0.008181718,0.691781599,590.3194176,-37520.84034
H2O,1000-6000,5.89E-16,-6.92E-12,4.08E-08,-0.000240733,8.899313192,-5785.149833,2053269.068
C2,298.15-1000,-6.19E-12,2.98E-08,-5.93E-05,0.062432754,-31.67411222,10292.83584,-1043957.223
C2,1000-6000,-1.62E-15,3.11E-11,-2.13E-07,0.000815537,3.84904021,-620.0936342,473587.1476
CO,298.15-1000,3.42E-13,-7.93E-10,-7.01E-07,0.003735615,0.68257959,804.7481196,-80904.09642
CO,1000-6000,3.53E-16,-7.95E-12,7.49E-08,-0.000347219,5.520616274,-1581.164126,330390.5259
CO2,298.15-1000,1.00E-12,-3.46E-09,3.87E-06,-0.000672597,6.638981714,-914.6888852,74260.77423
CO2,1000-6000,-4.41E-16,1.20E-11,-1.04E-07,0.000443848,6.897314583,-78.88312131,-653017.0519
CH4,298.15-1000,-3.04E-12,1.27E-08,-2.45E-05,0.029159178,-7.37338581,1690.982583,-75013.17488
CH4,1000-6000,1.51E-15,-3.81E-11,3.97E-07,-0.002224437,20.1599219,-13006.60513,3342198.271
ClO,298.15-1000,-9.43E-15,8.85E-11,-1.27E-07,-3.43E-05,4.840376902,-301.3971096,29932.62076
ClO,1000-6000,-1.22E-15,5.30E-11,-6.93E-07,0.00357457,-3.689404336,8802.581545,-3593754.156
H2O2,298.15-1000,-3.34E-11,1.26E-07,-0.000192134,0.149671497,-53.88187748,11856.57209,-1007381.808
H2S,298.15-1000,2.50E-12,-1.00E-08,1.49E-05,-0.008446663,7.275414565,-724.7923002,63233.80558
H2S,1000-6000,6.23E-16,-1.55E-11,1.60E-07,-0.000798812,9.772718601,-4894.503115,1281440.279
Hf,298.15-1000,1.86E-12,-7.39E-09,1.07E-05,-0.0056514,3.590711597,-3.846040726,-14522.31513
Hf,1000-6000,7.95E-15,-1.89E-10,1.80E-06,-0.007864527,20.76561137,-17188.30442,5795280.152
NO,298.15-1000,-1.48E-13,1.74E-09,-5.65E-06,0.008226124,-1.116709454,1127.520606,-95202.40529
NO,1000-6000,2.02E-16,-4.74E-12,4.56E-08,-0.000207835,5.162835524,-1040.559196,131084.2272
NO2,298.15-1000,-2.71E-12,1.25E-08,-2.38E-05,0.023118414,-4.15502815,1349.432127,-90169.01764
NO2,1000-6000,1.95E-16,-4.71E-12,4.65E-08,-0.000239735,7.689765789,-1074.416902,-145019.3908
N2,298.15-1000,1.90E-12,-7.22E-09,1.01E-05,-0.005518333,4.773174216,-90.19965222,-3873.844088
N2,1000-6000,8.93E-16,-1.76E-11,1.46E-07,-0.000624891,6.127696178,-2330.886193,632640.0187
O2,298.15-1000,-1.39E-12,6.73E-09,-1.33E-05,0.013579341,-2.556466068,1226.592176,-94065.30746
